ID,レベル,領域,章参照,課題タイトル,課題内容,提出物,タグ
B075,初心者,Matplotlib/可視化,第26–36章,エラーバー,plt.errorbarで平均と標準偏差を可視化する。,Notebook（.ipynb）,Matplotlib
B076,初心者,Matplotlib/可視化,第26–36章,等高線図,plt.contourfで2変数関数の等高線図を描く。,Notebook（.ipynb）,Matplotlib
B077,初心者,Matplotlib/可視化,第26–36章,2Dヒスト/hexbin,plt.hist2d と plt.hexbin を比較する。,Notebook（.ipynb）,Matplotlib
B078,初心者,Matplotlib/可視化,第26–36章,カラーマップ,plt.cmを使ってカラーマップを変更し、色範囲を制限する。,Notebook（.ipynb）,Matplotlib
B079,初心者,Matplotlib/可視化,第26–36章,凡例,凡例に任意ラベルを与え、locを変えて表示位置を比較する。,Notebook（.ipynb）,Matplotlib
B080,初心者,Matplotlib/可視化,第26–36章,複数サブプロット,plt.subplotsで2x2のグリッドに4種類の図を並べる。,Notebook（.ipynb）,Matplotlib
B081,初心者,Matplotlib/可視化,第26–36章,注釈,矢印付き注釈を1つ追加し、指し示す点の意味を説明する。,Notebook（.ipynb）,Matplotlib
B082,初心者,Matplotlib/可視化,第26–36章,目盛りの調整,主目盛と補助目盛、フォーマッタを使って軸を整える。,Notebook（.ipynb）,Matplotlib
B083,初心者,Matplotlib/可視化,第26–36章,スタイルシート,スタイルをデフォルト/ggplot/暗い背景で切り替えて比較する。,Notebook（.ipynb）,Matplotlib
B084,初心者,Matplotlib/可視化,第26–36章,rcParams,フォントサイズと図の大きさをrcParamsで一括調整する。,Notebook（.ipynb）,Matplotlib
B085,初心者,Matplotlib/可視化,第26–36章,色バー,imshow(乱数画像)+colorbarを作り、範囲と離散色を試す。,Notebook（.ipynb）,Matplotlib
B086,初心者,Matplotlib/可視化,第26–36章,テキストの配置,ax.textで相対座標を指定し、複数ラベルをレイアウトする。,Notebook（.ipynb）,Matplotlib
B087,初心者,Matplotlib/可視化,第26–36章,保存,図をSVG/PNGで保存し、dpiや透過の違いを確認する。,Notebook（.ipynb）,Matplotlib
B088,初心者,Matplotlib/可視化,第26–36章,凡例（サイズ凡例）,点サイズの意味を示すカスタム凡例を作る。,Notebook（.ipynb）,Matplotlib
B089,初心者,Matplotlib/可視化,第26–36章,GridSpec,GridSpecで非等間隔のレイアウトを作る。,Notebook（.ipynb）,Matplotlib
B090,初心者,Matplotlib/可視化,第26–36章,可視化のベストプラクティス,誤解を招くスケール/色の使い方の例を挙げ、改善案を示す。,Notebook（.ipynb）,Matplotlib
B091,初心者,機械学習（scikit-learn）,第37–47章,データ表現の基礎,"scikit-learnの特徴量行列Xと目的変数yの形（n_samples, n_features）を任意データで確認する。",Notebook（.ipynb）,scikit-learn
B092,初心者,機械学習（scikit-learn）,第37–47章,ホールドアウト検証,train_test_splitで訓練/テストに分割し、単純な線形回帰でR^2を報告する。,Notebook（.ipynb）,scikit-learn
B093,初心者,機械学習（scikit-learn）,第37–47章,分類入門（Iris）,Irisデータをロードし、kNNかロジスティック回帰で正解率を計算する。,Notebook（.ipynb）,scikit-learn
B094,初心者,機械学習（scikit-learn）,第37–47章,次元削減入門（PCA）,手書き数字データにPCAを当て、主要成分の累積寄与率を可視化する。,Notebook（.ipynb）,scikit-learn
B095,初心者,機械学習（scikit-learn）,第37–47章,学習曲線の作成,Iris分類でtrain_sizesを変えた学習曲線を描く。,Notebook（.ipynb）,scikit-learn
B096,初心者,機械学習（scikit-learn）,第37–47章,検証曲線の作成,SVMのCを変えた検証曲線を描いて過学習/学習不足の傾向を考察する。,Notebook（.ipynb）,scikit-learn
B097,初心者,機械学習（scikit-learn）,第37–47章,パイプライン入門,標準化+ロジスティック回帰のPipelineを作り、cross_val_scoreで精度を測る。,Notebook（.ipynb）,scikit-learn
B098,初心者,機械学習（scikit-learn）,第37–47章,特徴量エンジニアリング入門,カテゴリ特徴量をOneHotEncoderで数値化し、線形回帰に渡す。,Notebook（.ipynb）,scikit-learn
B099,初心者,機械学習（scikit-learn）,第37–47章,テキスト分類入門,少数の短文コーパスをTfidfVectorizerでベクトル化し、ナイーブベイズで分類する。,Notebook（.ipynb）,scikit-learn
B100,初心者,機械学習（scikit-learn）,第37–47章,クラスタリング入門（k-means）,合成データにk-meansを適用してクラスタ中心を可視化する。,Notebook（.ipynb）,scikit-learn
I001,中級,NumPy,第8–12章,ブロードキャスト規則の検証,形状の異なる配列の演算が可能/不可能になる条件を表にまとめるコードを書く。,Notebook（.ipynb）,NumPy
I002,中級,NumPy,第8–12章,センタリングとスケーリング,各列の平均0・分散1に標準化する関数をベクトル化で実装。,Notebook（.ipynb）,NumPy
I003,中級,NumPy,第8–12章,距離計算の最適化,二重forの距離行列コードをベクトル化し、%timeitで速度比較する。,Notebook（.ipynb）,NumPy
I004,中級,NumPy,第8–12章,ファンシーインデクス（高次元）,3次元配列から特定の軸のインデクス集合を取り出す。,Notebook（.ipynb）,NumPy
I005,中級,NumPy,第8–12章,インデクスの組合せ,2つのインデクス配列を組み合わせて選択・代入する。,Notebook（.ipynb）,NumPy
I006,中級,NumPy,第8–12章,ヒストグラム化によるビニング,np.digitizeで連続値をビンに割り当てて頻度表を出す。,Notebook（.ipynb）,NumPy
I007,中級,NumPy,第8–12章,argsortを使った上位K,距離が小さい順にK近傍のインデクスを返す関数を作る。,Notebook（.ipynb）,NumPy
I008,中級,NumPy,第8–12章,構造化配列,レコード配列で人名・年齢・身長の表を作り、ソートやフィルタを行う。,Notebook（.ipynb）,NumPy
I009,中級,NumPy,第8–12章,メモリ効率の比較,同じデータをPythonリストとndarrayで保持し、メモリ使用を比較する。,Notebook（.ipynb）,NumPy
I010,中級,NumPy,第8–12章,ブールマスクの応用,外れ値（IQR×1.5超）をブールマスクで検出して除外する。,Notebook（.ipynb）,NumPy
I011,中級,NumPy,第8–12章,np.where活用,条件に応じて値を置換する3項演算をwhereで実装する。,Notebook（.ipynb）,NumPy
I012,中級,NumPy,第8–12章,直積の活用,np.multiply.outerでグラム行列風の行列を作る。,Notebook（.ipynb）,NumPy
I013,中級,NumPy,第8–12章,累積演算,cumsum/cumprodで累積和・積を列単位に求める。,Notebook（.ipynb）,NumPy
I014,中級,NumPy,第8–12章,乱数の分布比較,正規/一様/ポアソンからサンプルし、平均・分散・ヒストグラムで比較する。,Notebook（.ipynb）,NumPy
I015,中級,NumPy,第8–12章,線形代数（固有値）,対称行列の固有値分解を行い、再構成誤差を確認する。,Notebook（.ipynb）,NumPy
I016,中級,NumPy,第8–12章,least squares,最小二乗で直線当てはめを行い、係数を求める。,Notebook（.ipynb）,NumPy
I017,中級,NumPy,第8–12章,マスクと代入,条件を満たす要素だけ値を変更し、副作用を検証する。,Notebook（.ipynb）,NumPy
I018,中級,NumPy,第8–12章,NaN安全な計算,nanmean/nanstd/nanpercentileで欠損を含む統計量を求める。,Notebook（.ipynb）,NumPy
I019,中級,NumPy,第8–12章,tile/repeatの使い分け,tileとrepeatでデータを拡張する例を3つ示す。,Notebook（.ipynb）,NumPy
I020,中級,NumPy,第8–12章,ベンチマーク設計,ブロードキャスト/ループ/リスト内包の3方式を%timeitで比較する。,Notebook（.ipynb）,NumPy
I021,中級,NumPy,第8–12章,np.unique応用,ユニーク値と各値の出現回数・逆引きインデクスを求める。,Notebook（.ipynb）,NumPy
I022,中級,NumPy,第8–12章,np.take/put,takeとputで高速な要素アクセス・代入を行う。,Notebook（.ipynb）,NumPy
I023,中級,NumPy,第8–12章,メッシュグリッド,np.meshgridで2D関数の値テーブルを生成する。,Notebook（.ipynb）,NumPy
I024,中級,NumPy,第8–12章,stride_tricks入門,as_stridedの危険性と利点をデモ（読み取り専用で）。,Notebook（.ipynb）,NumPy
I025,中級,NumPy,第8–12章,乱数の再現性（複数ストリーム）,独立なRNGを複数作り、実験を再現可能にする。,Notebook（.ipynb）,NumPy
I026,中級,pandas,第14–23章,MultiIndexの作成と選択,3階層のMultiIndexを作成し、xsで部分選択する。,Notebook（.ipynb）,pandas
I027,中級,pandas,第14–23章,stack/unstackの往復,長い形式↔広い形式を相互に変換し、情報が失われないことを確認する。,Notebook（.ipynb）,pandas
I028,中級,pandas,第14–23章,カテゴリ型の順序,順序付きカテゴリを作成し、並び替えや比較の挙動を確認する。,Notebook（.ipynb）,pandas
I029,中級,pandas,第14–23章,ウィンドウ関数,"rolling, expanding, ewm の違いを比較する。",Notebook（.ipynb）,pandas
I030,中級,pandas,第14–23章,groupby+aggの複数統計,複数関数・複数列の集約を列名に階層を持たせて出力する。,Notebook（.ipynb）,pandas
I031,中級,pandas,第14–23章,groupby.transformの活用,"各グループで標準化（平均0, 分散1）した列を作る。",Notebook（.ipynb）,pandas
I032,中級,pandas,第14–23章,applyでカスタム集約,グループごとにIQRや尖度を返す関数をapplyする。,Notebook（.ipynb）,pandas
I033,中級,pandas,第14–23章,mergeの検証,how（inner/left/right/outer）の違いを小さな例で検証する。,Notebook（.ipynb）,pandas
I034,中級,pandas,第14–23章,joinキーの指定,left_on/right_onやleft_index/right_indexの挙動を比較する。,Notebook（.ipynb）,pandas
I035,中級,pandas,第14–23章,重複キーの扱い,重複キー結合で行が増えるケースを可視化する。,Notebook（.ipynb）,pandas
I036,中級,pandas,第14–23章,ピボット（多重）,多重ピボットで3軸をまとめた表を作る。,Notebook（.ipynb）,pandas
I037,中級,pandas,第14–23章,文字列のベクトル化,Series.str.extractallでパターンの繰り返しを抽出する。,Notebook（.ipynb）,pandas
I038,中級,pandas,第14–23章,正規表現の命名グループ,(?P<name>...) を使って抽出列名を付ける。,Notebook（.ipynb）,pandas
I039,中級,pandas,第14–23章,欠損処理の戦略比較,除外、単純補完、前方/後方埋めで分析結果がどう変わるか比較。,Notebook（.ipynb）,pandas
I040,中級,pandas,第14–23章,時系列：resampleの穴埋め,asfreqで欠測を明示し、interpolateで連続化する。,Notebook（.ipynb）,pandas
I041,中級,pandas,第14–23章,時系列：シフトと差分,日次データから日次リターン（pct_change）を作成。,Notebook（.ipynb）,pandas
I042,中級,pandas,第14–23章,ベクトル化文字列→カテゴリ化,value_counts上位kをカテゴリ、それ以外をOtherにまとめる。,Notebook（.ipynb）,pandas
I043,中級,pandas,第14–23章,メモリの見積り,DataFrame.memory_usage(deep=True)で列ごとのメモリをレポート。,Notebook（.ipynb）,pandas
I044,中級,pandas,第14–23章,高速化の実験,for+appendとconcat（list収集→最後にconcat）の速度を比較。,Notebook（.ipynb）,pandas
I045,中級,pandas,第14–23章,小さなEDAテンプレ,関数化して任意のDataFrameの基本レポートを出す。,Notebook（.ipynb）,pandas
I046,中級,pandas,第14–23章,assign/pipeメソッド連鎖,メソッドチェーンで読みやすい前処理パイプを作る。,Notebook（.ipynb）,pandas
I047,中級,pandas,第14–23章,タイムゾーン,tz_localize/tz_convertでタイムゾーンを扱う。,Notebook（.ipynb）,pandas
I048,中級,pandas,第14–23章,ロケール依存の日時,月名の文字列をto_datetimeで解釈して日付に変換。,Notebook（.ipynb）,pandas
I049,中級,pandas,第14–23章,グループ内順位,rank(method='dense')でグループ内順位を付ける。,Notebook（.ipynb）,pandas
I050,中級,pandas,第14–23章,クロス集計,pd.crosstabでカテゴリ×カテゴリの表を作る。,Notebook（.ipynb）,pandas
I051,中級,pandas,第14–23章,多列キーのmerge,複数列をキーにして結合し、一部だけ一致するケースを検討。,Notebook（.ipynb）,pandas
I052,中級,pandas,第14–23章,集計結果のスタイル,Stylerでハイライトやバー表示を設定する（Notebook上で）。,Notebook（.ipynb）,pandas
I053,中級,pandas,第14–23章,nullable intの罠,Int64とfloatのNaNの扱いの違いを検証する。,Notebook（.ipynb）,pandas
I054,中級,pandas,第14–23章,Index操作の落とし穴,sort_indexの有無でlocのスライス挙動が変わる点を確認。,Notebook（.ipynb）,pandas
I055,中級,pandas,第14–23章,重複行の検出,duplicatedで重複フラグを立て、最初/最後/全部の保持を比較。,Notebook（.ipynb）,pandas
I056,中級,pandas,第14–23章,グループサンプリング,groupby.sampleで各グループから一定件数を抽出。,Notebook（.ipynb）,pandas
I057,中級,pandas,第14–23章,rolling.applyの自作関数,ウィンドウ内のカスタム指標（例：最大-最小）を計算。,Notebook（.ipynb）,pandas
I058,中級,pandas,第14–23章,時系列：営業日カレンダー,BDay/CBMonthEndなどのオフセットを使う。,Notebook（.ipynb）,pandas
I059,中級,pandas,第14–23章,read_csvの実践,大きめCSVをchunksizeで読み込み、集約結果を結合。,Notebook（.ipynb）,pandas
I060,中級,pandas,第14–23章,to_parquetの体験,Parquetで保存し、dtypeとサイズを比較する。,Notebook（.ipynb）,pandas
I061,中級,Matplotlib/可視化,第29–36章,カスタム凡例,ハンドルを自作して点サイズの意味を示す凡例を作る。,Notebook（.ipynb）,Matplotlib
I062,中級,Matplotlib/可視化,第29–36章,2軸グラフ,twinxで2つのy軸を持つ図を作り、目盛りをフォーマットする。,Notebook（.ipynb）,Matplotlib
I063,中級,Matplotlib/可視化,第29–36章,注釈の高度化,annotateでテキスト枠のスタイル・矢印プロップを調整する。,Notebook（.ipynb）,Matplotlib
I064,中級,Matplotlib/可視化,第29–36章,色バーの拡張,extend='both'や離散カラーバーで外れ値を表現する。,Notebook（.ipynb）,Matplotlib
I065,中級,Matplotlib/可視化,第29–36章,サブプロット間の共有軸,sharex/shareyで比較しやすい配置にする。,Notebook（.ipynb）,Matplotlib
I066,中級,Matplotlib/可視化,第29–36章,GridSpec高度化,比率の異なるグリッドとinset_axesで差し込み図を作る。,Notebook（.ipynb）,Matplotlib
I067,中級,Matplotlib/可視化,第29–36章,Formatter/Locator自作,金額や日付のフォーマットをカスタムFormatterで実装。,Notebook（.ipynb）,Matplotlib
I068,中級,Matplotlib/可視化,第29–36章,目盛の間引き,MaxNLocatorなどで見やすい目盛間隔を自動化する。,Notebook（.ipynb）,Matplotlib
I069,中級,Matplotlib/可視化,第29–36章,rcParamsプロファイル,設定の保存/読み込みでスタイルを再現する。,Notebook（.ipynb）,Matplotlib
I070,中級,Matplotlib/可視化,第29–36章,等高線のラベリング,clabelで等高線に数値を付与する。,Notebook（.ipynb）,Matplotlib
I071,中級,Matplotlib/可視化,第29–36章,棒グラフのエラーバー,barとerrorbarを組み合わせた図を作る。,Notebook（.ipynb）,Matplotlib
I072,中級,Matplotlib/可視化,第29–36章,3D表面図,plot_surfaceでサンプル関数の表面を描く。,Notebook（.ipynb）,Matplotlib
I073,中級,Matplotlib/可視化,第29–36章,3D等高線・ワイヤーフレーム,contour3Dとplot_wireframeの違いを比較。,Notebook（.ipynb）,Matplotlib
I074,中級,Matplotlib/可視化,第29–36章,seaborn入門,pairplotとjointplotで関係を俯瞰する。,Notebook（.ipynb）,Matplotlib
I075,中級,Matplotlib/可視化,第29–36章,FacetGrid,カテゴリで面分割した図を作る。,Notebook（.ipynb）,Matplotlib
I076,中級,Matplotlib/可視化,第29–36章,スタイル比較,"ggplot, fivethirtyeight, seabornを比較し可読性を考察。",Notebook（.ipynb）,Matplotlib
I077,中級,Matplotlib/可視化,第29–36章,保存自動化,複数図をループで保存し、ファイル名に変数を埋め込む。,Notebook（.ipynb）,Matplotlib
I078,中級,Matplotlib/可視化,第29–36章,相関の可視化,ヒートマップで相関行列を可視化する。,Notebook（.ipynb）,Matplotlib
I079,中級,Matplotlib/可視化,第29–36章,密度推定,kdeplot相当をMatplotlibとSciPyで描く。,Notebook（.ipynb）,Matplotlib
I080,中級,Matplotlib/可視化,第29–36章,ベストプラクティス検討,色覚バリアフリーの配色選択を検討し資料化する。,Notebook（.ipynb）,Matplotlib
I081,中級,機械学習（scikit-leーン）,第38–46章,交差検証の設計,KFoldとStratifiedKFoldを比較し、分類で分布がどう保たれるか検証する。,Notebook（.ipynb）,scikit-learn
I082,中級,機械学習（scikit-leーン）,第38–46章,グリッドサーチ,"SVM(C, gamma)でGridSearchCVし、ベストパラメータとスコアを報告。",Notebook（.ipynb）,scikit-learn
I083,中級,機械学習（scikit-leーン）,第38–46章,学習曲線/検証曲線,同一データで2つの曲線を描き、過学習/学習不足を議論。,Notebook（.ipynb）,scikit-learn
I084,中級,機械学習（scikit-leーン）,第38–46章,パイプライン,StandardScaler→PCA→ロジスティック回帰のPipelineでIris分類。,Notebook（.ipynb）,scikit-learn
I085,中級,機械学習（scikit-leーン）,第38–46章,欠損補完と前処理,ColumnTransformerで数値は標準化、カテゴリはOne-Hot、欠損は補完。,Notebook（.ipynb）,scikit-learn
I086,中級,機械学習（scikit-leーン）,第38–46章,ナイーブベイズ（テキスト）,20newsgroupsの一部を使ってMultinomialNBで分類。,Notebook（.ipynb）,scikit-learn
I087,中級,機械学習（scikit-leーン）,第38–46章,ランダムフォレスト特徴重要度,RFで重要度を棒グラフ表示し、上位特徴を分析。,Notebook（.ipynb）,scikit-learn
I088,中級,機械学習（scikit-leーン）,第38–46章,SVMのカーネル比較,linear/RBF/polyで分類性能の差を比較。,Notebook（.ipynb）,scikit-learn
I089,中級,機械学習（scikit-leーン）,第38–46章,線形回帰の正則化,RidgeとLassoで係数の縮小効果を可視化。,Notebook（.ipynb）,scikit-learn
